"filename", "language", "C++", "YAML", "Dart", "JSON", "Markdown", "Project.pbxproj", "HTML", "XML", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"c:\Users\pc\Documents\GitHub\cureocityUser\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\pc\Documents\GitHub\cureocityUser\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 3, 13, 72
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\google-services.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 1, 35
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\pc\Documents\GitHub\cureocityUser\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\pc\Documents\GitHub\cureocityUser\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\pc\Documents\GitHub\cureocityUser\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\pc\Documents\GitHub\cureocityUser\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\pc\Documents\GitHub\cureocityUser\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
